"","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh"
"123","Madagascar","MDG",2016,"-0,27","-0,40","-1,17","-0,69","-0,74","-0,90","3,5"
"124","Maldives","MDV",2016,"-0,74","0,41","-0,33","-0,46","-0,41","-0,67","4,5"
"125","Mexico","MEX",2016,"-0,09","-0,77","0,14","0,29","-0,50","-0,77","3"
"126","Marshall Islands","MHL",2016,"1,20","0,93","-1,56","-0,98","-0,10","-0,06","1"
"127","Macedonia, FYR","MKD",2016,"-0,23","-0,38","0,09","0,44","-0,31","-0,31","3,5"
"128","Mali","MLI",2016,"-0,18","-1,55","-0,99","-0,59","-0,78","-0,67","4,5"
"129","Malta","MLT",2016,"1,20","1,08","0,95","1,16","1,08","0,72","1"
"130","Myanmar","MMR",2016,"-0,85","-0,63","-0,98","-0,87","-0,99","-0,65","5,5"
"131","Mongolia","MNG",2016,"0,45","0,82","-0,11","-0,08","-0,22","-0,50","1,5"
"132","Montenegro","MNE",2016,"0,08","0,16","0,10","0,22","-0,04","-0,10","3"
"133","Mozambique","MOZ",2016,"-0,39","-1,05","-0,85","-0,70","-1,02","-0,87","4"
"134","Mauritania","MRT",2016,"-0,83","-0,74","-0,79","-0,74","-0,78","-0,80","5,5"
"136","Mauritius","MUS",2016,"0,86","1,05","0,96","1,03","0,80","0,32","1,5"
"137","Malawi","MWI",2016,"0,04","-0,06","-0,73","-0,84","-0,37","-0,75","3"
"138","Malaysia","MYS",2016,"-0,47","0,10","0,88","0,71","0,54","0,11","4"
"139","Namibia","NAM",2016,"0,61","0,74","0,17","-0,14","0,39","0,37","2"
"140","Niger","NER",2016,"-0,34","-1,08","-0,59","-0,67","-0,64","-0,64","3,5"
"141","Nigeria","NGA",2016,"-0,30","-1,85","-1,09","-0,92","-1,05","-1,04","4,5"
"142","Nicaragua","NIC",2016,"-0,63","-0,17","-0,70","-0,51","-0,60","-0,89","3,5"
"144","Netherlands","NLD",2016,"1,48","0,89","1,84","1,98","1,89","1,95","1"
"145","Norway","NOR",2016,"1,58","1,17","1,88","1,70","2,02","2,20","1"
"146","Nepal","NPL",2016,"-0,23","-0,79","-0,81","-0,76","-0,84","-0,76","3,5"
"147","Nauru","NRU",2016,"0,52","0,55","-0,69","-0,38","-0,80","-0,47","2"
"148","New Zealand","NZL",2016,"1,44","1,49","1,86","2,04","1,93","2,30","1"
"149","Oman","OMN",2016,"-1,11","0,80","0,19","0,61","0,43","0,37","5,5"
"150","Pakistan","PAK",2016,"-0,69","-2,47","-0,64","-0,64","-0,83","-0,86","4,5"
"151","Panama","PAN",2016,"0,53","0,43","0,19","0,36","0,03","-0,49","2"
"152","Palau","PLW",2016,"1,23","0,93","-0,41","-0,18","0,32","-0,47","1"
"153","Peru","PER",2016,"0,28","-0,16","-0,17","0,51","-0,49","-0,35","2,5"
"154","Philippines","PHL",2016,"0,14","-1,30","-0,01","0,00","-0,40","-0,53","3"
"155","Papua New Guinea","PNG",2016,"0,19","-0,50","-0,73","-0,56","-0,75","-0,92","3,5"
"156","Poland","POL",2016,"0,84","0,51","0,69","0,95","0,68","0,75","1"
"157","Puerto Rico","PRI",2016,"0,40","0,81","0,38","0,95","0,68","0,04","1"
